id,name,qty,price,salePrice,savings
1417,"AASIRBAAD 10 LBS",5,14.99,11.24,3.75
1418,"AASIRBAAD 1O LB MULTIGRAIN",7,14.99,11.24,3.75
1270,"ADANI AJINO MOTO 7 OZ",18,2.99,2.24,0.75
1355,"ADANI AJWAIN SEEDS",20,4.99,3.74,1.25
1370,"ADANI ALL PURPOSE FLOUR",15,1.99,1.49,0.50
1269,"adani amchur powder 3.5oz",20,1.39,1.04,0.35
1330,"ADANI ANARDANA POWDER",18,3.99,2.99,1.00
1399,"ADANI ATTA 20 LBS",6,24.99,18.74,6.25
1373,"ADANI BAHRI FLOUR",8,5.99,4.49,1.50
1378,"ADANI BAHRI FLOUR 800 G",7,2.99,2.24,0.75
1265,"adani baking powder",16,1.99,1.49,0.50
1267,"adani baking soda",-13,1.99,1.49,0.50
1320,"ADANI BARA MASALA",19,2.99,2.24,0.75
1375,"ADANI BARLEY FLOUR",10,4.99,3.74,1.25
1312,"ADANI BIRYANI MASALA",6,1.99,1.49,0.50
1335,"ADANI BLACK SALT",15,1.99,1.49,0.50
1340,"ADANI BLACK SALT 3.5 OZ",20,0.99,0.74,0.25
1311,"ADANI CHAAT MASALA",8,1.99,1.49,0.50
1310,"ADANI CHHAS MASALA",8,1.99,1.49,0.50
1307,"ADANI CHHOLE MASALA",9,1.99,1.49,0.50
1327,"ADANI CHIA SEEDS 14 OZ",9,3.99,2.99,1.00
1315,"ADANI CHILLI POWDER",19,2.99,2.24,0.75
1276,"ADANI CHILLI POWDER 200G",18,2.99,2.24,0.75
1323,"ADANI CHILLI POWDER RED 7 OZ",18,2.99,2.24,0.75
1344,"ADANI CINNAMON STICKS FLAT",10,2.99,2.24,0.75
1359,"ADANI CINNAMON STICKS FLAT",18,1.99,1.49,0.50
1336,"ADANI CITRIC ACID",19,1.39,1.04,0.35
1317,"ADANI CORANDER POWDER",17,1.99,1.49,0.50
1275,"ADANI CORIANDER POWDER 14 OZ",19,3.99,2.99,1.00
1364,"ADANI CORIANDER SEEDS",10,4.99,3.74,1.25
1379,"ADANI CRACKED WHEAT 28OZ",19,2.99,2.24,0.75
1371,"ADANI CRACKED WHEAT FINE",10,4.99,3.74,1.25
1321,"ADANI CRUSHED CHILI",15,1.99,1.49,0.50
1322,"ADANI CRUSHED CHILI 7 OZ",16,2.99,2.24,0.75
1274,"ADANI CUMIN POWDER 400 GMS",17,5.99,4.49,1.50
1316,"ADANI CUMIN POWDER 7 OZ",11,2.99,2.24,0.75
1363,"ADANI CUMIN SEEDS 14 OZ",8,5.99,4.49,1.50
1362,"ADANI CUMIN SEEDS 7OZ",16,2.99,2.24,0.75
1272,"adani dill seeds",18,1.99,1.49,0.50
1352,"ADANI DILL SEEDS",15,2.99,2.24,0.75
1358,"ADANI FENUGREEK SEEDS",15,2.99,2.24,0.75
1411,"ADANI FRIED ONION",8,5.99,4.49,1.50
1361,"ADANI FUNNEL SEEDS",17,2.99,2.24,0.75
1308,"ADANI GARAM MASALA",10,1.99,1.49,0.50
1326,"ADANI GARAM MASALA 14 OZ",18,5.99,4.49,1.50
1332,"ADANI GARAM MASALA 200 G",16,2.99,2.24,0.75
1324,"ADANI GARAM MASALA POWDER",16,1.99,1.49,0.50
1309,"ADANI GINGER POWDER",9,1.99,1.49,0.50
1266,"adani himalayan pink salt",9,1.99,1.49,0.50
1357,"ADANI KALONGI 3.5OZ",18,1.99,1.49,0.50
1349,"ADANI KALONOGI",13,4.99,3.74,1.25
1325,"ADANI KATLI 7OZ",19,3.99,2.99,1.00
1380,"ADANI KUTTU FLOUR 800G",18,3.49,2.62,0.87
1369,"ADANI LADOO BESAN",7,5.99,4.49,1.50
1376,"ADANI LADOO BESAN 2LB",16,2.99,2.24,0.75
1331,"ADANI MACE 3.5 OZ",19,7.99,5.99,2.00
1356,"ADANI MUSTARD SEEDS 14 OZ",17,2.99,2.24,0.75
1313,"ADANI PANI PURI MASALA",8,1.99,1.49,0.50
1314,"ADANI PAV BHAJJI MASALA",10,1.99,1.49,0.50
1347,"ADANI POPPY SEEDS",19,7.99,5.99,2.00
1365,"ADANI RICE FLOUR",4,3.99,2.99,1.00
1366,"ADANI RICE FLOUR 8 LBS",3,6.99,5.24,1.75
1351,"ADANI SESAME",15,1.99,1.49,0.50
1360,"ADANI SESAME SEEDS",10,3.99,2.99,1.00
1353,"ADANI SESAME SEEDS 14 OZ",14,3.99,2.99,1.00
1271,"adani sindaloo namak 200gms",19,1.99,1.49,0.50
1367,"ADANI SOOJI FINE",10,4.99,3.74,1.25
1374,"ADANI SOOJI FINE",8,2.49,1.87,0.62
1382,"ADANI SUBUDANA 200G",18,0.99,0.74,0.25
1381,"ADANI SUBUDANA 400G",16,1.99,1.49,0.50
1394,"ADANI SUGAR CANDY 400GM",4,2.49,1.87,0.62
1337,"ADANI TAKPIR POWDER",18,1.99,1.49,0.50
1372,"ADANI TAPKIR POWDER 400 GAS",20,2.99,2.24,0.75
1329,"ADANI TEA MASALA 100G",18,2.99,2.24,0.75
1277,"ADANI TEA MASALA 200 G",17,3.99,2.99,1.00
1319,"ADANI TURMERIC POWDER",3,6.99,5.24,1.75
1268,"adani turmuric powder 14oz",11,3.99,2.99,1.00
1318,"ADANI TURMURIC POWDER 7OZ",0,1.99,1.49,0.50
1377,"ADANI WHEAT FLOUR 4 LBS",9,5.99,4.49,1.50
1328,"AJI NO MOTO",19,1.99,1.49,0.50
1396,"BALAJI 200G SUGAR CANDY",12,1.49,1.12,0.37
1264,"balaji black whole dal 4lbs",8,5.99,4.49,1.50
1393,"BALAJI BLANCHED PEANUTS RAW 400G",16,2.99,2.24,0.75
1395,"BALAJI BLANCHED PEANUTS RAW 7OZ",16,1.49,1.12,0.37
1398,"BALAJI CASHEW 14 OZ",14,4.99,3.74,1.25
1278,"Balaji chips",-25,1.99,1.49,0.50
1401,"BALAJI GOLD BIRYANI RICE",5,14.99,11.24,3.75
1261,"balaji masoor dal split 2 lb",9,3.99,2.99,1.00
1254,"balaji moong dal 4lbs",-3,5.99,4.49,1.50
1258,"balaji moong dal no skin 2 lbs",17,3.99,2.99,1.00
1263,"balaji moong dal whole beans 2lb",13,3.99,2.99,1.00
1262,"balaji moong whole dal",3,5.99,4.49,1.50
1389,"BALAJI PEANUTS RAW 200GM",9,1.49,1.12,0.37
1391,"BALAJI PEANUTS RAW 2LB",1,3.99,2.99,1.00
1392,"BALAJI RAW PEANUTS 400G",5,2.99,2.24,0.75
1257,"balaji toor dal 2lb",17,3.99,2.99,1.00
1255,"balaji urad dal",9,5.99,4.49,1.50
1259,"balaji urad dal 2lbs",16,3.99,2.99,1.00
1256,"balaji urad split chilka",4,6.20,4.65,1.55
1260,"balaji urad whole black 2lbs",17,3.99,2.99,1.00
1413,"BESAN FLOUR",20,2.99,2.24,0.75
1414,"BHADANG PUFFED RICE",9,2.99,2.24,0.75
1334,"CARDAMOM BLACK 3.5 OZ",12,7.99,5.99,2.00
1333,"CARDAMOM BLACK BIG",5,50.00,37.50,12.50
1348,"CARDAMOM GREEN 14 OZ",19,24.99,18.74,6.25
1350,"CARDAMOM GREEN 3.5 OZ",8,5.99,4.49,1.50
1345,"CARDAMOM GREEN 7 OZ",18,12.99,9.74,3.25
1346,"CINNAMON STICKS ROUND",4,3.99,2.99,1.00
1410,"COCONUT 1PC",12,2.49,1.87,0.62
1412,"COCONUT 2 PC",16,3.99,2.99,1.00
1386,"DABUR SESAME OIL",8,9.99,7.49,2.50
1407,"DANTA KANTI TOOTHPASTE",7,3.99,2.99,1.00
